author,persona0,persona1,persona2,persona3
1,0.7351026,0.0981311,0.0833333,0.0834329
10,0.2460868,0.539513,0.086521,0.1278792
1000,0.6458391,0.05,0.0500001,0.2541608
1008,0.0586476,0.0508146,0.0500004,0.8405374
1009,0.625,0.125,0.125,0.125
101,0.2052955,0.0357143,0.7228344,0.0361558
1011,0.1615433,0.0625,0.0625061,0.7134506
1037,0.625,0.125,0.125,0.125
1046,0.7485234,0.0833333,0.0848099,0.0833333
1053,0.3962428,0.0279209,0.0436963,0.5321399
1057,0.625,0.125,0.125,0.125
1064,0.3371293,0.0833348,0.083334,0.4962019
1065,0.1416445,0.0212398,0.0334209,0.8036947
1070,0.044312,0.0416744,0.0417978,0.8722157
1083,0.362529,0.0833342,0.0833336,0.4708033
1094,0.625,0.125,0.125,0.125
1102,0.8481057,0.05,0.0500071,0.0518871
1105,0.625,0.125,0.125,0.125
1109,0.0470292,0.0416736,0.0418708,0.8694264
1112,0.625,0.125,0.125,0.125
1114,0.8924796,0.0357178,0.0358158,0.0359868
1116,0.812493,0.0625,0.062507,0.0625
1117,0.625,0.125,0.125,0.125
1131,0.0128359,0.0142601,0.0463945,0.9265095
1144,0.6249999,0.1250001,0.125,0.125
1146,0.625,0.125,0.125,0.125
1149,0.7496788,0.0833333,0.0836529,0.083335
1154,0.7488676,0.0833333,0.0844657,0.0833334
1167,0.8471659,0.05,0.0528145,0.0500196
1168,0.2583106,0.0833403,0.0833335,0.5750156
1176,0.75,0.0833333,0.0833333,0.0833333
1191,0.484003,0.0416667,0.4325276,0.0418027
1192,0.7230473,0.0833333,0.110286,0.0833333
1207,0.7499529,0.0833334,0.0833729,0.0833408
1211,0.8838399,0.0357226,0.0447189,0.0357186
1213,0.8272831,0.02778,0.0338862,0.1110507
1216,0.75,0.0833333,0.0833333,0.0833333
1230,0.7483675,0.0833333,0.0849659,0.0833333
1234,0.7754861,0.0625,0.0659633,0.0960507
1240,0.8279865,0.0506923,0.0626254,0.0586958
1241,0.8124314,0.0625,0.0625066,0.062562
1247,0.625,0.125,0.125,0.125
125,0.625,0.125,0.125,0.125
127,0.0286804,0.0606401,0.0278102,0.8828693
1273,0.4985711,0.05,0.0604817,0.3909472
1281,0.625,0.125,0.125,0.125
1285,0.1002738,0.4252332,0.0500027,0.4244902
1296,0.7473266,0.0833333,0.0838164,0.0855237
1307,0.7451589,0.0833333,0.0881745,0.0833333
1309,0.624998,0.125002,0.125,0.125
1329,0.625,0.125,0.125,0.125
134,0.625,0.125,0.125,0.125
1348,0.625,0.125,0.125,0.125
1355,0.75,0.0833333,0.0833333,0.0833333
1361,0.625,0.125,0.125,0.125
1365,0.4643937,0.3689376,0.0833334,0.0833353
1368,0.0720345,0.5768521,0.0452927,0.3058207
1369,0.6249982,0.1250016,0.1250002,0.125
1376,0.7498165,0.0833333,0.0834127,0.0834375
1378,0.625,0.125,0.125,0.125
138,0.8332132,0.05,0.0665401,0.0502467
1386,0.625,0.125,0.125,0.125
1398,0.7416686,0.0910918,0.0833333,0.0839062
