Name,Id,Docs,Size
A   Aazevedo,1,"[21493265, 24422941]",2
A   Azevedo,10,"[17956816, 16612523, 28983279, 29339026, 27761128, 21739001, 17684665, 17956791, 18359360, 19488564, 19574947, 20835541, 25190255, 25303817, 31753780, 22789414, 23049821, 23110786, 24498000]",19
J   Hwang,1000,"[27132067, 20581691, 21271589, 21477330, 23533584, 26277928, 27590453, 27631630, 27658122, 27666578, 28723598, 29095920, 29190632, 30003226, 31471428, 31490980, 32249815, 32291135]",18
J   Jung,1008,"[31010735, 22200123, 23583341, 24917903, 31469529, 26317661]",6
J   Juul,1009,"[16717016, 22100742]",2
A   Londero,101,"[15711472, 17046609, 17956800, 17956816, 19303613, 19926416, 22500699, 26773752, 29287622, 32362565, 12162101, 16493347, 16969308, 20633385, 20676372, 21647364, 22789414, 23177379, 23550269, 23597755, 27250987, 28835261, 29708062, 30488765, 30803389, 30871820, 32062654]",27
J   Kaltenbach,1011,"[10675644, 10755809, 23440516, 26520582, 11950539, 12163523, 12361876, 14729250, 16081009, 16469461, 17114138, 17956775, 18978198, 21068300, 21146597, 24047942, 31022358, 21536826]",18
J   Marienhagen,1037,"[16170508, 15806046, 17114149, 17605764, 14550687, 15570501, 22021023]",7
J   Middleton,1046,"[21502491, 22586378]",2
J   Nicklaus,1053,"[22168528, 25676150, 28114646, 21422304, 22217183, 22675003, 23599075, 25356570, 25715350, 26422238, 28448659]",11
J   Ost,1057,"[20374277, 21563554, 19623097, 20186404, 27761741, 29888315]",6
J   Phillips,1064,"[16995967, 16436993, 26661070, 30624396, 20238353, 21975776, 28425615, 30693546]",8
J   Piccirillo,1065,"[16455366, 17438255, 21422304, 22168528, 22217183, 22675003, 23108884, 23599075, 25356570, 25676150, 25715350, 26422238, 28114646, 28448659, 28951023, 30073285, 31013203, 32808091, 22722065, 22789414, 25319676]",21
J   Rauschecker,1070,"[16280464, 17956816, 20620868, 21220097, 22493571, 22982009, 25050181, 26299843, 26412095, 27091485, 28824415]",11
J   Schmidt,1083,"[32370767, 25564147, 27259524, 27619040, 29757798, 30375953, 31365354, 21751942]",8
J   Smith,1094,"[17334317, 22066003]",2
J   Strutz,1102,"[16170508, 15806046, 17903575, 18359361, 19130969, 19829970, 21511205, 21705788, 22723902, 26583098]",10
J   Tang,1105,"[15088339, 22070077]",2
J   Turner,1109,"[19699270, 16492129, 17956779, 18438941, 18978200, 21502491, 25217380, 26109660, 26584761, 21139908, 16904853, 22434653, 23152598]",13
J   Vernon,1112,"[10857999, 17114146, 11981384, 12856298, 12856299, 16640064, 22156949]",7
J   Vlaeyen,1114,"[21336139, 21399500, 22633033, 29133012, 30998546, 19210767, 31912887, 21221004, 23411656, 24829038]",10
J   Watelet,1116,"[21493268, 22193871, 22576249]",3
J   Wazen,1117,"[15091224, 21451428]",2
J   Zhang,1131,"[29429190, 24662845, 28687812, 23141438, 23141439, 29541537, 23259261, 29541537, 25379434, 25734018, 25789314, 25935516, 26578894, 30941010, 32315198, 23135026, 23285963, 23379118, 27192902, 19894493, 23937007, 12163523, 12361876, 14729250, 16081009, 18094653, 21057850, 21933015, 22683504, 22683861, 24069375, 24583078, 24938852, 25092609, 26299842, 27835697, 27865868, 28687812, 28925013, 31211773, 31795642]",41
K   Caperton,1144,"[21192277, 21225801]",2
K   Chelette,1146,"[17016213, 17334317, 18475211, 21287564]",4
K   Cherian,1149,"[21536826, 24047942]",2
K   Cruickshanks,1154,"[12141389, 17479618, 20560859, 21309642, 22588269, 31356390]",6
K   Garcia,1167,"[21422304, 22168528, 22217183, 23599075]",4
K   Gopal,1168,"[21718695, 25751698, 28906245]",3
K   Holgers,1176,"[11093613, 11465295, 16315449, 12166689, 12689455, 12647204, 14655330, 15643739, 16415703, 16717016, 16844885, 21716113, 22100742]",13
K   Kochanek,1191,"[21709642, 21735665, 23036120, 23197241, 23719272]",5
K   Kraus,1192,"[21821100, 22440225]",2
K   Nakamura,1207,"[21646745, 24358631]",2
K   Ogawa,1211,"[19851065, 20971587, 21495790, 22062400, 22281446, 22331257, 23320814, 24720159, 26181225, 28841656, 28906162, 29210942, 30534194, 30700182, 31606294, 32128439, 32145748, 32613523, 32747715]",19
K   Park,1213,"[21054911, 29324903, 21331784, 21922976, 23053375, 23918695, 24162769, 24953134, 28572760, 29487513, 26121026, 25476777, 22886845]",13
K   Pierce,1216,"[22168528, 21422304]",2
K   Vermeire,1230,"[18225603, 18225610, 18817861, 18834065, 19005250, 21756468, 22931903]",7
K   Wisner,1234,"[21969021, 23785405, 24282480, 28478300, 30342202]",5
L   Anteunis,1240,"[19210767, 21221004, 21336139, 22633033, 23411656, 24829038]",6
L   Bo,1241,"[17956798, 17956816, 19372645, 21090162, 18722219, 19248952, 19879078, 20558020, 21070123, 21592701, 21595527, 25773105, 29336133, 32773786]",14
L   Collins,1247,"[21087449, 21733188]",2
A   Paglialonga,125,"[21729434, 19879078, 20558020]",3
A   Palmer,127,"[21388238, 22791191, 23291084, 23639335, 24702651, 24892904, 25346722, 25799178, 27708577, 29191772, 32686192, 25806021]",12
L   Liu,1273,"[23176350, 23983802, 27776655, 28188881, 28941768, 25962854, 22070077, 31378310]",8
L   Parra,1281,"[21376109, 27832140]",2
L   Renier,1285,"[21220097, 24793493, 25420904, 25763867, 29159044]",5
L   Sybert,1296,"[21969021, 23418634]",2
L   Zhang,1307,"[21896771, 31211773, 23135026, 27413554, 27776655, 28188881, 30471164, 16904853, 17114137]",9
L   Zhou,1309,"[32973991, 22192603]",2
M   Barrenäs,1329,"[11093613, 21716113, 22100742]",3
A   Pilka,134,"[18837228, 21735665, 28537137, 29130955]",4
M   Cesarone,1348,"[20657537, 22108483]",2
M   Congedo,1355,"[21889914, 19816597, 20417285, 21998628]",4
M   Deniz,1361,"[19924014, 21638120]",2
M   Dugall,1365,"[20657537, 22108483, 24988090]",3
M   Edmondson-Jones,1368,"[21388238, 23639335, 24360142, 24482186, 25470623, 25478690, 25503070, 25766493, 27246985, 27438865]",10
