author,persona0,persona1,persona2,persona3
1128,0.2299895,0.1665397,0.5665444,0.0369264
1131,0.3548758,0.1507643,0.4681333,0.0262266
1154,0.8389683,0.0607321,0.0502995,0.05
1246,0.0628497,0.0626703,0.8097961,0.0646839
1295,0.0629756,0.0625001,0.0629633,0.811561
1453,0.7283641,0.0833333,0.104969,0.0833336
15,0.1277318,0.125,0.6222682,0.125
1524,0.0208366,0.0759195,0.8822873,0.0209567
155,0.0878865,0.573258,0.2555215,0.083334
1570,0.1490906,0.1127975,0.1815917,0.5565201
1611,0.8606968,0.0677296,0.0358593,0.0357143
1667,0.0500258,0.0501136,0.8497898,0.0500708
1671,0.0607912,0.391328,0.4303585,0.1175223
1687,0.1122523,0.05,0.7874791,0.0502686
1744,0.0644389,0.7895286,0.1121632,0.0338693
1796,0.0445536,0.0312512,0.8283072,0.095888
1823,0.8443828,0.0535498,0.0520675,0.05
1849,0.8121966,0.0625332,0.0627501,0.0625201
1862,0.0833621,0.0833333,0.0940413,0.7392632
1980,0.4943201,0.062501,0.1100708,0.3331081
1997,0.1823112,0.0625002,0.6184385,0.1367501
2025,0.5703068,0.0629808,0.1557538,0.2109587
2052,0.7051924,0.1257679,0.085705,0.0833347
2103,0.2996684,0.05,0.6002694,0.0500622
2162,0.4167535,0.0833333,0.4165788,0.0833344
2171,0.3514924,0.0548491,0.3891291,0.2045294
2172,0.0844823,0.0833333,0.748851,0.0833334
2188,0.9639748,0.0181575,0.0082682,0.0095995
2193,0.135756,0.0833333,0.1016612,0.6792496
2195,0.3167192,0.0836783,0.5162553,0.0833472
2203,0.8586714,0.0539714,0.0426343,0.044723
2209,0.7089344,0.1562567,0.0723089,0.0625
2299,0.4629232,0.0625063,0.0978277,0.3767428
2309,0.0610884,0.0517917,0.1023276,0.7847923
236,0.0323127,0.6891181,0.2604446,0.0181245
237,0.600675,0.2816608,0.078548,0.0391162
266,0.4421582,0.05,0.4541907,0.0536512
372,0.1259882,0.125,0.6240118,0.125
375,0.0501101,0.2775505,0.6213537,0.0509856
419,0.0890285,0.0833333,0.7434782,0.08416
461,0.7822578,0.0513333,0.0572622,0.1091467
490,0.0357172,0.0442108,0.8843544,0.0357177
492,0.8570607,0.0500834,0.0511842,0.0416716
511,0.7776665,0.05,0.1223243,0.0500091
526,0.8057327,0.0625,0.0690697,0.0626976
530,0.649697,0.0833333,0.1571546,0.109815
534,0.7159936,0.0833333,0.1024094,0.0982637
536,0.7229668,0.0833333,0.1037678,0.089932
539,0.2233058,0.403027,0.2702295,0.1034378
558,0.7032039,0.0838076,0.1285443,0.0844442
575,0.6196142,0.0416702,0.2957166,0.0429991
616,0.0279052,0.027784,0.9150393,0.0292715
623,0.0610305,0.4219361,0.4432059,0.0738275
625,0.1258951,0.125,0.6241049,0.125
706,0.083776,0.0833334,0.1022339,0.7306568
815,0.1155378,0.0625,0.7594622,0.0625
830,0.1948334,0.0921894,0.4334256,0.2795516
880,0.8183809,0.0500094,0.0816077,0.0500019
886,0.8547843,0.1079536,0.0210305,0.0162316
938,0.08454,0.0833333,0.7487934,0.0833333
940,0.0871629,0.0833333,0.7461704,0.0833333
944,0.0894734,0.0833358,0.7436934,0.0834973
1037,0.1166175,0.0343286,0.6372844,0.2117695
105,0.0886348,0.6241355,0.0833333,0.2038964
106,0.1704285,0.125,0.125,0.5795715
1077,0.4256523,0.0833816,0.1331194,0.3578467
1085,0.0833523,0.0833595,0.0833334,0.7499549
1088,0.0879201,0.083355,0.0833333,0.7453915
1110,0.0841327,0.0625,0.0625,0.7908673
1115,0.6170218,0.2557086,0.0538815,0.0733881
1135,0.0865976,0.0833333,0.0833333,0.7467357
1142,0.0416783,0.0425908,0.0422719,0.873459
1179,0.0833733,0.083407,0.0833335,0.7498861
119,0.437744,0.2074937,0.1440142,0.2107481
1210,0.1330904,0.125,0.125,0.6169096
1224,0.0625784,0.0625,0.0625,0.8124216
1242,0.1546727,0.125,0.125,0.5953273
1280,0.5375133,0.1856683,0.0500126,0.2268058
1289,0.7461346,0.0634393,0.1360255,0.0544006
1310,0.0833702,0.0833335,0.0833333,0.749963
1345,0.1356369,0.125,0.125,0.6143631
1382,0.0630479,0.0625047,0.0625,0.8119473
1383,0.7120015,0.0638275,0.0625,0.161671
1387,0.0277884,0.0573416,0.0307889,0.8840811
1420,0.1113655,0.0833333,0.0833333,0.7219679
1421,0.0833339,0.0833647,0.0833333,0.749968
1428,0.43811,0.1959187,0.2176305,0.1483408
1444,0.3564873,0.1250064,0.1250134,0.3934929
1445,0.0261987,0.1293188,0.6715525,0.1729299
1464,0.0834538,0.0833333,0.0833333,0.7498796
152,0.8679342,0.0430907,0.0417328,0.0472424
1526,0.9246808,0.0250195,0.0250003,0.0252994
1575,0.1352627,0.125,0.125,0.6147373
162,0.0361523,0.6489567,0.0310696,0.2838214
1638,0.0872081,0.5713686,0.0833343,0.258089
1649,0.6535057,0.0833333,0.1419947,0.1211663
1655,0.4862243,0.0625194,0.1171373,0.334119
1693,0.9545451,0.0108744,0.0126302,0.0219503
17,0.1313481,0.0282324,0.7701301,0.0702894
1707,0.0500154,0.0501088,0.8448542,0.0550216
172,0.0395674,0.0933885,0.0762521,0.7907919
1725,0.1253617,0.125,0.125,0.6246383
1729,0.2614552,0.2719424,0.0625199,0.4040824
1736,0.0675902,0.0625177,0.0625,0.8073921
1758,0.0837544,0.0835178,0.083334,0.7493939
1765,0.7203458,0.0716535,0.099458,0.1085428
177,0.0550711,0.061237,0.0500001,0.8336918
1809,0.0841661,0.0833529,0.0833333,0.7491477
1861,0.0834962,0.0833333,0.7491829,0.0839875
1883,0.8336806,0.0426053,0.1151903,0.0085239
1889,0.0950728,0.0833333,0.0833333,0.7382605
190,0.0837921,0.0833333,0.0833333,0.7495412
1913,0.6044035,0.0834438,0.0833334,0.2288193
1914,0.0852766,0.0833333,0.0833333,0.7480567
2004,0.1581364,0.0500229,0.0561168,0.735724
2007,0.0872589,0.0833333,0.0833333,0.7460744
2109,0.0976365,0.3528007,0.0833355,0.4662272
2170,0.0837578,0.0833333,0.743579,0.0893299
2175,0.0864434,0.0833333,0.0833333,0.7468899
223,0.033766,0.0130532,0.0163143,0.9368665
2236,0.0625225,0.0625,0.0726131,0.8023644
2255,0.0833893,0.0834462,0.0833333,0.7498312
2269,0.1027977,0.0833333,0.0833333,0.7305356
231,0.8058884,0.0625,0.0625199,0.0690917
232,0.1676333,0.083534,0.0834421,0.6653906
2390,0.1299,0.125,0.125,0.6201
241,0.0568142,0.1563954,0.0475179,0.7392725
