word,score
loss,0.001444742
age,0.001201748
hear,0.001123176
increase,0.000923707
study,0.000880908
participant,0.000771315
activity,0.000739308
score,0.000664667
measure,0.000618899
treatment,0.000590893
brain,0.000532685
connectivity,0.000491069
response,0.000450456
functional,0.000450386
neural,0.000435428
network,0.000425941
loudness,0.000411898
report,0.000405132
month,0.000380029
evidence,0.000339972
