word,score
treatment,0.00302787
activity,0.001949716
year,0.001057693
compare,0.000965359
increase,0.000892613
stimulation,0.000855783
high,0.00074907
sleep,0.000744194
brain,0.000564125
day,0.000518365
animal,0.000508629
ear,0.000424571
match,0.000401037
assess,0.000398388
auditory,0.000394769
difference,0.000372162
hyperacusis,0.000316662
factor,0.000316394
score,0.000302752
sound,0.000284987
