Name,Id,Docs,Size
A   Azevedo,10,"[17956816, 16612523, 28983279, 29339026, 27761128, 21739001, 17684665, 17956791, 18359360, 19488564, 19574947, 20835541, 25190255, 25303817, 31753780, 22789414, 23049821, 23110786, 24498000]",19
J   Juul,1009,"[16717016, 22100742]",2
A   Londero,101,"[15711472, 17046609, 17956800, 17956816, 19303613, 19926416, 22500699, 26773752, 29287622, 32362565, 12162101, 16493347, 16969308, 20633385, 20676372, 21647364, 22789414, 23177379, 23550269, 23597755, 27250987, 28835261, 29708062, 30488765, 30803389, 30871820, 32062654]",27
J   Kaltenbach,1011,"[10675644, 10755809, 23440516, 26520582, 11950539, 12163523, 12361876, 14729250, 16081009, 16469461, 17114138, 17956775, 18978198, 21068300, 21146597, 24047942, 31022358, 21536826]",18
J   Lebacq,1022,"[16419699, 20420345]",2
J   Lefaucheur,1024,"[17046609, 22500699, 29287622, 16493347, 20633385]",5
J   Marienhagen,1037,"[16170508, 15806046, 17114149, 17605764, 14550687, 15570501, 22021023]",7
J   Nottet,1054,"[15219318, 16735910]",2
J   Parrish,1061,"[19699270, 16492129, 18978200]",3
J   Phillips,1064,"[16995967, 16436993, 26661070, 30624396, 20238353, 21975776, 28425615, 30693546]",8
J   Piccirillo,1065,"[16455366, 17438255, 21422304, 22168528, 22217183, 22675003, 23108884, 23599075, 25356570, 25676150, 25715350, 26422238, 28114646, 28448659, 28951023, 30073285, 31013203, 32808091, 22722065, 22789414, 25319676]",21
J   Said,1078,"[17147041, 17260885]",2
J   Snow,1096,"[17114150, 22245715, 26096056]",3
J   Svedlund,1103,"[11465295, 15643739, 16415703, 16844885]",4
J   Turner,1109,"[19699270, 16492129, 17956779, 18438941, 18978200, 21502491, 25217380, 26109660, 26584761, 21139908, 16904853, 22434653, 23152598]",13
J   Verlooy,1111,"[14744285, 16015156, 16514263]",3
J   Vernon,1112,"[10857999, 17114146, 11981384, 12856298, 12856299, 16640064, 22156949]",7
J   Weissman,1118,"[10924551, 16718451]",2
