author,persona0,persona1,persona2,persona3
10,0.0320199,0.0315744,0.0312755,0.9051302
1009,0.125,0.125,0.1250012,0.6249988
101,0.0277808,0.0278312,0.0278325,0.9165556
1011,0.0507319,0.7528898,0.0614978,0.1348805
1022,0.0833333,0.0833333,0.0836543,0.749679
1024,0.07282,0.1260932,0.3184489,0.482638
1037,0.0905826,0.0833333,0.0833401,0.7427439
1054,0.1250012,0.125,0.1253444,0.6246544
1061,0.0625,0.096894,0.0625894,0.7780166
1064,0.0625113,0.0625002,0.0626008,0.8123877
1065,0.1342839,0.0833333,0.0837399,0.6986429
1078,0.0893849,0.0833333,0.0833341,0.7439477
1096,0.126984,0.1250055,0.2826028,0.4654077
1103,0.0833333,0.0833333,0.0854874,0.7478459
1109,0.1298079,0.2881657,0.2925124,0.289514
1111,0.125,0.125,0.1258457,0.6241543
1112,0.083334,0.0833333,0.0869608,0.7463718
1118,0.125,0.125,0.6105765,0.1394235
1121,0.0833333,0.0833333,0.0929026,0.7404307
114,0.2491733,0.0531129,0.0500473,0.6476666
1142,0.125,0.125,0.1250028,0.6249972
1146,0.092008,0.0833333,0.0833343,0.7413243
1152,0.0833333,0.0833333,0.0865303,0.7468031
1156,0.0949585,0.05,0.0500015,0.80504
117,0.1250009,0.125,0.1257987,0.6242004
1176,0.0625,0.0625,0.0626098,0.8123901
1184,0.1308692,0.1250068,0.306529,0.4375951
1185,0.0767674,0.0625,0.0625004,0.7982322
119,0.0522257,0.0416667,0.0416855,0.864422
1198,0.0833333,0.0833333,0.0833333,0.75
120,0.0833334,0.0833333,0.0868697,0.7464636
1206,0.0625572,0.0627048,0.8099166,0.0648214
1212,0.0833333,0.0833334,0.0836211,0.7497121
123,0.1383935,0.126679,0.2572113,0.4777163
124,0.0789712,0.0758197,0.3992356,0.4459735
1257,0.0833333,0.0833333,0.0833428,0.7499905
126,0.125,0.125,0.1251824,0.6248176
1261,0.0833333,0.0833334,0.0834006,0.7499327
1277,0.0834145,0.0833362,0.0834408,0.7498086
1286,0.0500007,0.052986,0.058053,0.8389603
1307,0.0833333,0.0833333,0.0849071,0.7484262
131,0.0625001,0.063822,0.0625569,0.811121
135,0.0625,0.0673873,0.0660141,0.8040986
1371,0.0950791,0.1052129,0.2345688,0.5651392
1377,0.125,0.125,0.125002,0.624998
1385,0.0833973,0.0833364,0.0834052,0.7498612
1396,0.125,0.125,0.125003,0.624997
1402,0.125,0.125,0.1250005,0.6249995
141,0.0419003,0.0439089,0.0416671,0.8725237
1412,0.125,0.125,0.1250067,0.6249933
1435,0.1250005,0.125,0.1250162,0.6249833
1439,0.1231781,0.0638112,0.0333701,0.7796407
1445,0.0392187,0.5464459,0.3461009,0.0682345
1452,0.0866202,0.0833333,0.0833542,0.7466923
1457,0.0833333,0.0833333,0.0833719,0.7499614
1463,0.8442137,0.0504,0.0517368,0.0536495
1465,0.1692143,0.1439932,0.500384,0.1864086
1474,0.0858087,0.0833333,0.083347,0.747511
1494,0.0833647,0.5663236,0.1132824,0.2370293
1504,0.125,0.125,0.1251208,0.6248792
1506,0.1250001,0.125,0.1342432,0.6157567
1522,0.0348843,0.0277949,0.0282057,0.9091151
1524,0.0357143,0.0384217,0.0357359,0.8901281
1529,0.0956236,0.0833333,0.0833562,0.7376869
1541,0.125,0.125,0.1250032,0.6249968
