time,persona,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
2006,0,0.109510544,0.117388848,0.057045207,0.078383146,0.057576381,0.118979492,0.094292391,0.104928042,0.102541942,0.054244415,0.105109592
2006,1,0.123245829,0.130806565,0.049597038,0.054785671,0.050462818,0.127855297,0.081209643,0.108716418,0.11003759,0.047917886,0.115365245
2006,2,0.05282103,0.041030164,0.166336297,0.17044609,0.140140131,0.044719629,0.092051877,0.081760273,0.025930543,0.135495617,0.04926835
2006,3,0.03439575,0.002343297,0.214331767,0.113981725,0.167324757,0.015547505,0.10446382,0.056484631,0.104429564,0.162507335,0.024189849
2007,0,0.089229614,0.09348864,0.091559223,0.100001266,0.078161958,0.093248234,0.100314728,0.107272678,0.097400009,0.064029804,0.085293847
2007,1,0.112867756,0.110929761,0.079245017,0.067367076,0.064404135,0.111550795,0.084621162,0.098667666,0.109604183,0.062721945,0.098020505
2007,2,0.064677636,0.054162388,0.149220723,0.143050171,0.129705985,0.059247185,0.086381877,0.08081781,0.039734558,0.131855011,0.061146655
2007,3,0.036630844,0.002899643,0.221171545,0.114929251,0.165222093,0.015250319,0.107906529,0.056438072,0.106788237,0.152082449,0.020681017
2008,0,0.078246598,0.080250103,0.108964737,0.117800959,0.085310006,0.07898535,0.106383207,0.108185297,0.096354923,0.065834412,0.073684409
2008,1,0.099757129,0.086718992,0.118750061,0.080177457,0.082324144,0.090710062,0.088318337,0.088979989,0.11059657,0.078211403,0.075455857
2008,2,0.079895111,0.073921997,0.120339231,0.11664294,0.113821766,0.079880241,0.07931766,0.084610747,0.047441668,0.123912731,0.080215908
2008,3,0.040640807,0.00261163,0.227656137,0.115279521,0.161112146,0.016642443,0.110929257,0.05379715,0.110953564,0.143202678,0.017174664
2009,0,0.076970157,0.06655704,0.135841541,0.11716478,0.090740756,0.071847976,0.104941048,0.100458856,0.098435514,0.075190461,0.061851871
2009,1,0.091592315,0.073073079,0.137945091,0.092746065,0.08945068,0.076616718,0.094356801,0.086543455,0.113836137,0.082600869,0.061238791
2009,2,0.086694848,0.087989543,0.097445604,0.104750624,0.104218108,0.092264268,0.076003584,0.090548054,0.049181133,0.116891726,0.094012508
2009,3,0.043638972,0.00243189,0.22852471,0.120337575,0.154466958,0.017034963,0.115994424,0.053259354,0.115630534,0.13343275,0.01524787
2010,0,0.072979343,0.059376248,0.147319937,0.119145279,0.092968912,0.068509009,0.104917836,0.10267462,0.099983605,0.074681711,0.057443501
2010,1,0.089023714,0.066270454,0.147796512,0.097657628,0.091099688,0.071538651,0.095812458,0.086275752,0.11437279,0.085538968,0.054613385
2010,2,0.089647393,0.095097873,0.08669636,0.099146209,0.099982096,0.097631807,0.074199477,0.093726554,0.049633757,0.113940367,0.100298108
2010,3,0.045673932,0.002345579,0.228684222,0.123541157,0.150306888,0.017814275,0.118381041,0.053014094,0.117745967,0.12851644,0.013976406
