word,score
sound,0.001471351
current,0.000937671
increase,0.000850975
activity,0.000836869
identify,0.000824676
clinical,0.000679328
hear,0.000639232
outcome,0.000511653
total,0.000493892
animal,0.000489655
suppression,0.000489653
difference,0.000488213
trial,0.000487484
objective,0.000393662
therapeutic,0.000388
stimulation,0.000378235
investigate,0.000374097
great,0.000349863
criterion,0.000346992
rat,0.000330597
