author,persona0,persona1,persona2,persona3
1011,0.0313338,0.0571588,0.8788642,0.0326433
1043,0.4611474,0.1319229,0.1345118,0.2724179
1060,0.6243524,0.1251271,0.125066,0.1254545
1112,0.0568562,0.0500832,0.8430606,0.05
1118,0.2102865,0.1256382,0.4569856,0.2070897
1169,0.0840193,0.0833426,0.7493048,0.0833333
1171,0.0844146,0.0416669,0.8322506,0.0416679
1176,0.0289918,0.027778,0.9152383,0.0279919
123,0.144274,0.6214516,0.1393574,0.094917
1265,0.7493877,0.0833839,0.0838906,0.0833378
1274,0.0500052,0.0506428,0.849352,0.05
1358,0.6249859,0.125,0.1250141,0.1250001
1510,0.0769213,0.0357143,0.8516484,0.035716
163,0.552891,0.0850235,0.1064257,0.2556598
1670,0.6183314,0.1251378,0.131527,0.1250039
1797,0.0712256,0.0625,0.8027376,0.0635368
1800,0.7858544,0.0500006,0.1141154,0.0500296
1803,0.0430451,0.0362694,0.8849691,0.0357164
1814,0.7484193,0.0833349,0.0848751,0.0833707
1820,0.6249992,0.125,0.1250008,0.125
1827,0.087283,0.0833344,0.7460002,0.0833824
1830,0.6834558,0.0833334,0.1498773,0.0833334
1837,0.1605795,0.0833334,0.6727538,0.0833333
1901,0.7385151,0.0836694,0.0942022,0.0836133
1927,0.7998086,0.0661556,0.0715228,0.062513
1940,0.831803,0.05,0.0679946,0.0502023
1954,0.0830362,0.0625,0.7919638,0.0625
2136,0.6249959,0.1250001,0.1250039,0.1250001
2271,0.6233759,0.1250002,0.1266119,0.1250119
2273,0.0688417,0.0625,0.0625,0.8061583
228,0.624895,0.1250018,0.125103,0.1250002
2285,0.0628843,0.0625,0.8120052,0.0626105
2290,0.6173966,0.1297668,0.1273315,0.1255051
233,0.6024201,0.1250123,0.1475622,0.1250053
240,0.6230516,0.125108,0.1268372,0.1250032
249,0.4709538,0.0368851,0.2457537,0.2464074
318,0.0712286,0.062607,0.803598,0.0625663
325,0.6249994,0.125,0.1250006,0.125
372,0.2819757,0.3211309,0.3083284,0.0885649
382,0.7975534,0.0529422,0.0965457,0.0529586
54,0.3725702,0.1092714,0.4214916,0.0966669
541,0.624471,0.125376,0.125137,0.125016
552,0.6219899,0.1250051,0.1251463,0.1278587
568,0.6212337,0.125,0.1287659,0.1250003
595,0.6249796,0.1250003,0.1250197,0.1250004
630,0.0943648,0.0833341,0.7389673,0.0833339
654,0.743845,0.0878762,0.0833386,0.0849402
668,0.7699472,0.0500063,0.065075,0.1149715
690,0.019045,0.0485889,0.8923072,0.0400589
712,0.4068058,0.0851156,0.0925752,0.4155034
751,0.0843012,0.0833399,0.7490242,0.0833347
841,0.6248775,0.125,0.1251225,0.125
927,0.4535665,0.0886149,0.3744852,0.0833333
988,0.6248637,0.125,0.1251362,0.125
990,0.8114269,0.0625,0.0625008,0.0635723
100,0.0625,0.0637687,0.8112313,0.0625
1056,0.125,0.1250021,0.6249979,0.125
1103,0.0833353,0.0833333,0.7382915,0.0950398
1119,0.125,0.1250514,0.6249486,0.125
114,0.0835852,0.0833398,0.745701,0.087374
1147,0.0833333,0.083482,0.7498514,0.0833333
1199,0.0834056,0.0833333,0.7492464,0.0840146
1209,0.041672,0.0416815,0.8491016,0.0675449
1222,0.125,0.125066,0.624934,0.125
1277,0.0625217,0.0626538,0.8122616,0.062563
1350,0.0833333,0.083335,0.7499983,0.0833333
1353,0.0833333,0.0882674,0.7450659,0.0833333
1373,0.125,0.1250014,0.6249986,0.125
1408,0.0500006,0.0545008,0.8454987,0.05
1463,0.0500679,0.0500837,0.8498484,0.05
1508,0.125,0.1250077,0.6249923,0.125
1522,0.0500139,0.0500017,0.8387908,0.0611936
1541,0.125,0.1250938,0.6249062,0.125
1708,0.0500069,0.0504208,0.8495723,0.05
1791,0.0625,0.7643702,0.1106298,0.0625
1818,0.0833718,0.0833333,0.7493006,0.0839942
1867,0.0628526,0.0625028,0.8121438,0.0625007
1872,0.125,0.1250009,0.6249991,0.125
1904,0.125,0.1252161,0.6247839,0.125
1920,0.125,0.1251439,0.6248561,0.125
1951,0.125,0.1256534,0.6243466,0.125
1974,0.125,0.1250017,0.6249983,0.125
