time,persona,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
2016,0,0.104000711,0.00143867,0.086044027,0.048557256,0.09986402,0.154825527,0.060684171,0.130536205,0.060450302,0.105802912,0.147796198
2016,1,0.130717371,0.305062621,0.042599021,0.049798118,0.149236102,0.048846233,0.066193466,0.04882704,0.083234015,0.01919354,0.056292472
2016,2,0.046470209,0.14163645,0.139699698,0.1877668,0.047263195,0.005422938,0.132809236,0.04672498,0.129458449,0.075343745,0.047404301
2016,3,0.031902746,0.240105767,0.07825729,0.126110326,0.100157562,0.019965595,0.127854494,0.075138413,0.13886086,0.029660035,0.031986912
2017,0,0.098865291,0.001567468,0.08773545,0.049220388,0.099827793,0.157148648,0.057950015,0.134696732,0.058477687,0.09879308,0.155717448
2017,1,0.109871612,0.264774052,0.064401152,0.06699588,0.134264493,0.051698691,0.07327957,0.056363002,0.093635752,0.022435602,0.062280195
2017,2,0.05735124,0.131180721,0.14611523,0.192177853,0.041394737,0.00753349,0.124237978,0.045994433,0.116882847,0.07888253,0.05824894
2017,3,0.051070673,0.226738105,0.06823889,0.106492006,0.107633502,0.029803804,0.125679649,0.068261212,0.140208113,0.046213057,0.02966099
2018,0,0.094670357,0.001654672,0.090375506,0.05026896,0.099011278,0.156964583,0.056400581,0.135584849,0.057645856,0.092123073,0.165300284
2018,1,0.102602027,0.235935232,0.078930471,0.078188564,0.12437873,0.055518707,0.075731704,0.059176882,0.096672687,0.025844868,0.067020129
2018,2,0.068591235,0.119234559,0.154822789,0.195550427,0.034876183,0.010233521,0.112747957,0.0459905,0.104955742,0.079405513,0.073591574
2018,3,0.057359673,0.212261366,0.062468759,0.095931911,0.112801726,0.039669225,0.126683367,0.069325062,0.140265035,0.060234724,0.022999153
2019,0,0.091675157,0.001703624,0.094493613,0.053248324,0.097787786,0.154713806,0.05450786,0.134334684,0.057413126,0.085951501,0.17417052
2019,1,0.099760284,0.218286745,0.073980901,0.077661122,0.121037308,0.061973435,0.079816453,0.068546544,0.098905927,0.032241671,0.067789609
2019,2,0.07412317,0.104464734,0.163267204,0.198251995,0.028657243,0.013817561,0.10285504,0.049736294,0.094577902,0.078681575,0.091567281
2019,3,0.062479912,0.200656843,0.059893164,0.088372434,0.115612023,0.04897516,0.125951154,0.069995989,0.139019735,0.070202744,0.018840842
2020,0,0.090005349,0.001725355,0.097578178,0.055636802,0.095807783,0.153272114,0.052927777,0.133540269,0.057051154,0.0831586,0.179296617
2020,1,0.097396636,0.207854018,0.073565531,0.079900621,0.117741449,0.06483759,0.07901415,0.07615723,0.097759753,0.028883658,0.076889365
2020,2,0.079688035,0.101069176,0.164157491,0.198074513,0.025719729,0.015292882,0.098910811,0.051345088,0.090577691,0.080964623,0.094199962
2020,3,0.062498167,0.194511639,0.059755352,0.084388722,0.118385903,0.053657837,0.126015042,0.069194352,0.140040205,0.074626354,0.016926426
