Name,Id,Docs,Size
A   Palmer,127,"[21388238, 22791191, 23291084, 23639335, 24702651, 24892904, 25346722, 25799178, 27708577, 29191772, 32686192, 25806021]",12
L   Liu,1273,"[23176350, 23983802, 27776655, 28188881, 28941768, 25962854, 22070077, 31378310]",8
L   Marchiori,1276,"[29676293, 24408248, 25991939, 26572700, 26654962, 27210823, 32174642]",7
L   McKenna,1277,"[11201320, 11678946, 15250126, 31791396, 17114141, 20053154, 25339938, 27445776, 29131084, 28945659, 30609202, 30612487, 32334871, 32362850]",14
L   Parra,1281,"[21376109, 27832140]",2
L   Roberts,1286,"[29234817, 15474168, 16901722, 17114139, 18712566, 21068300, 21388238, 22654738, 23876286, 23886426, 24622858, 25024849, 25266340, 25937134, 26868680, 27265722, 27888040, 29298868, 30938558]",19
L   Rosito,1288,"[27413408, 29339026]",2
L   Serra,1291,"[25992175, 27186933]",2
L   Tan,1297,"[31190502, 27509615]",2
L   Travis,1300,"[27354478, 30952644]",2
M   Ahn,1315,"[27725178, 29097049]",2
M   Akeroyd,1317,"[24482186, 27825859, 30104320, 30853349, 32436477]",5
M   Berge,1334,"[27867121, 27911239, 28421030, 31201186, 31568135]",5
M   Bussi,1341,"[18843180, 25753907, 27197727]",3
M   Carlson,1344,"[27203146, 27913068, 25319676, 25319676]",4
M   Casale,1345,"[13679010, 28012597]",2
M   Castiglioni,1346,"[24516567, 26747258]",2
M   Chang,1349,"[27979609, 28068305]",2
M   Dogan,1362,"[27340988, 27502826]",2
M   Doi,1363,"[29676293, 26572700, 26654962, 27210823, 32174642]",5
M   Durai,1366,"[27387463, 28027920, 28418323, 28491033, 29806782, 29863467, 29933259, 32175932]",8
M   Edmondson-Jones,1368,"[21388238, 23639335, 24360142, 24482186, 25470623, 25478690, 25503070, 25766493, 27246985, 27438865]",10
M   Fu,1374,"[30282144, 26911067]",2
M   Garcia,1380,"[24516567, 26747258]",2
M   Hansen,1389,"[17956792, 23598691, 26001407, 27564443, 27681261]",5
M   Herrmann,1393,"[25478237, 26890094]",2
A   Refaie,140,"[15515640, 19210767, 21154366, 21940981, 22633033, 23152235, 24622861, 24829038, 27146036, 30589445, 32266580, 32787604]",12
M   Issa,1403,"[27042360, 28604786]",2
M   Janssen,1407,"[25758066, 27592136, 27994936, 30102446, 30868944, 29188740, 27111333, 29507954]",8
A   Ribas,142,"[24333895, 25773106, 27186934, 27488992, 28452715]",5
M   Kleinstäuber,1427,"[23199238, 23627873, 24970708, 25582803, 25031187, 25906171, 26867083, 29383953, 29873278, 32175932]",10
M   Knipper,1428,"[17275194, 12782351, 18524887, 19651198, 23154938, 23516401, 24012803, 25871611, 27594824, 30202725, 30599268, 32938634]",12
A   Rocha,143,"[27923565, 30337103]",2
M   Koo,1432,"[27631630, 27666578, 29095920, 29190632]",4
M   Kusatz,1435,"[16639917, 27515471]",2
M   Kwak,1436,"[25080038, 26771015]",2
M   Laureano,1441,"[24516567, 26747258]",2
M   Lee,1442,"[22675003, 32955464, 31469529, 28878660, 27812001, 29706416, 29283017, 22805113]",8
M   Lewis,1447,"[25600417, 27315442]",2
M   Li,1448,"[29429190, 23213750, 23285949, 26054142, 26481177, 19961771, 23141438, 23141439, 23285963, 23379118, 27192902, 29541537]",12
M   Meyer,1467,"[29143096, 25276437, 26850646, 27001548, 27671157, 28315312, 28476163, 29163242, 29249959, 29375369, 30031353, 30500397, 30871419, 31049052, 32328859, 32675432]",16
M   Mielczarek,1469,"[18552045, 19004266, 22682958, 24337877, 25910505, 27250987, 29375369, 29628872, 30871820]",9
A   Samelli,147,"[20098946, 21103715, 25029581, 26358094, 27074186]",5
M   Mondelli,1473,"[27923565, 30337103, 31422070]",3
A   Sampaio,148,"[18359362, 18559734, 25992175, 27186933, 23314160, 26424781, 28422030, 29339026]",8
M   O'Keeffe,1481,"[28027920, 28418323, 29863467]",3
M   Park,1492,"[29706416, 28068305, 24653916, 27979609, 28286100, 28471721, 30287741, 31830753, 32735626, 32944806, 23799161, 26317661, 26449560, 26700250, 27340987, 24653921, 24215217]",17
M   Pregler,1498,"[26583109, 27020079]",2
M   Reichert,1505,"[28018210, 28824415, 29375369, 30177869, 32204540, 32808939]",6
M   Reis,1507,"[24516567, 26747258]",2
M   Riga,1509,"[27598848, 29967558, 17255885, 21609915, 24691512, 28355949]",6
A   Schilling,151,"[30707242, 27315063, 28082861, 28232817]",4
M   Rosa,1511,"[27488992, 29983341, 30926455, 32863109, 28452715, 27488995]",6
M   Rufer,1515,"[26850646, 29163242]",2
M   Saenz,1518,"[27663095, 28168599]",2
M   Salviati,1519,"[27460721, 23219227, 24550676, 25018882, 25725038, 28099967]",6
M   Schecklmann,1525,"[22909265, 24477090, 21808984, 22021023, 22069382, 22302057, 22383902, 22509155, 22529949, 22613349, 22723902, 22781703, 23049821, 23078754, 23186556, 23229756, 23435735, 23968498, 24409317, 24422941, 24498000, 24898574, 24967106, 24991438, 24996510, 25478237, 26557055, 26557654, 26583098, 26583109, 26583133, 26583152, 26667790, 26890094, 26927363, 27020079, 27315823, 27671157, 28134346, 28265258, 28428769, 28807845, 28894434, 29375369, 29515350, 30871419, 30871820, 31434985, 31439873, 31796761, 31805822, 31905364, 32858835]",53
M   Sereda,1527,"[19364527, 21388238, 22791191, 23571301, 23639335, 24482186, 25215617, 25470623, 25587668, 25799178, 26557658, 27009548, 27146036, 27403346, 27885869, 29189522, 30589445, 30672739, 30871820, 31361173, 32231789]",21
A   Schultz,153,"[26654962, 27210823]",2
M   Suckfüll,1537,"[17487461, 17529847, 20015810, 21223542, 21751942, 27228021]",6
M   Thill,1546,"[30872004, 23590098, 27097395]",3
M   Vincentiis,1554,"[32767320, 27460721, 28553764, 28885581, 29161302, 29336129, 30102717, 30261653, 28160746]",9
M   Wieringa,1561,"[21609917, 27488988]",2
M   Williams,1562,"[25838816, 26568958, 27718349]",3
M   Yilmaz,1568,"[26984121, 25006914, 23749707, 31067839]",4
A   Seydell-Greenwald,157,"[22493571, 22982009, 25050181, 26299843, 27091485]",5
N   Bhattacharyya,1576,"[27301552, 27441392]",2
N   Coulson,1585,"[27009548, 27146036]",2
A   Shaykevich,159,"[24581050, 25690779, 26987755]",3
N   Edvall,1591,"[27250987, 28333916, 30871820, 32444677]",4
N   Ghazaleh,1594,"[27663095, 28168599]",2
N   McLachlan,1606,"[27391257, 27605920, 29123218, 29366511]",4
N   Penido,1619,"[23503916, 25190255, 25303817, 25303821, 27223675, 31753780, 27761128, 28983279, 26541232, 28826945]",10
N   Peter,1620,"[26850646, 27001548, 28476163, 29163242, 29770647, 31060475]",6
N   Wedderkopp,1631,"[25564147, 27259524, 31365354]",3
O   Alsalman,1639,"[27489534, 32681139]",2
O   Hong,1647,"[24662638, 26578924, 26968456]",3
A   Sirin,165,"[31607735, 27142154]",2
O   Person,1656,"[27879981, 29339026]",2
O   Warusfel,1659,"[26773752, 23177379]",2
O   Zagólski,1660,"[15915925, 17260884, 24684405, 27576018, 29187006]",5
O   Zobay,1661,"[22791191, 25799178, 26665004, 27825859]",4
P   Adjamian,1662,"[19364527, 21388238, 22791191, 23571301, 23639335, 24892904, 25431567, 25799178, 26665004, 27403346, 27708577]",11
P   Allen,1664,"[28994194, 26399571, 28418328, 28431551, 28793790, 28990807, 30135809, 29095725, 30286238, 30295113, 30452747, 30470247, 30479266]",13
A   Smit,167,"[26255618, 27697874, 32102813, 30908589]",4
P   Bonfils,1671,"[15711472, 17046609, 19926416, 26773752, 29287622, 12162101, 16493347, 16969308, 20676372, 21647364]",10
P   Brüggemann,1673,"[29350237, 29426995, 29484461, 27445776, 28192822, 28333916, 28499301, 28529479]",8
P   Carlbring,1675,"[15370777, 15738691, 22250855, 27114881, 30135798]",5
P   Corthals,1685,"[26584711, 24583677, 27715331, 28282482]",4
P   Cotton,1686,"[23590098, 27097395]",2
P   Dawes,1689,"[18596645, 21049852, 25766493, 24360142, 25503070, 27438865, 31747526, 31356390]",8
P   Dechent,1690,"[22445697, 27499700]",2
