author,persona0,persona1,persona2,persona3
1507,0.1250456,0.1600855,0.5898688,0.125
1509,0.0639035,0.0626034,0.576337,0.2971562
151,0.2716664,0.0663782,0.2685967,0.3933588
1511,0.0482822,0.0416728,0.8683648,0.0416802
1515,0.6518357,0.0833366,0.1814233,0.0834044
1518,0.0854191,0.0947926,0.7296283,0.09016
1519,0.2376507,0.1168048,0.5261648,0.1193797
1525,0.9215277,0.0176547,0.0319545,0.0288631
1527,0.2676619,0.0548478,0.634188,0.0433023
153,0.1286537,0.125646,0.6207002,0.125
1537,0.1303871,0.1637636,0.5808492,0.1250001
1546,0.7424381,0.083335,0.0908935,0.0833333
1554,0.0279317,0.0250112,0.2951315,0.6519256
1561,0.4022868,0.1304832,0.3422299,0.125
1562,0.169611,0.3810554,0.3243335,0.1250001
1568,0.4439211,0.0873573,0.385388,0.0833335
157,0.1251783,0.2486788,0.501143,0.125
1576,0.1250163,0.6217365,0.1282472,0.125
1585,0.0833373,0.0848205,0.7485089,0.0833333
159,0.2699285,0.2502579,0.3539437,0.1258698
1591,0.8283176,0.0500045,0.069104,0.0525739
1594,0.1250002,0.1361799,0.6138198,0.125
1606,0.083382,0.1025414,0.720817,0.0932595
1619,0.3587127,0.0419987,0.5568261,0.0424624
1620,0.5139869,0.0524101,0.3886453,0.0449577
1631,0.7458038,0.08468,0.0861827,0.0833334
1639,0.2438721,0.4032836,0.2459943,0.1068499
1647,0.1251462,0.1312896,0.6185641,0.125
165,0.3407898,0.0833691,0.4925022,0.0833389
1656,0.1100727,0.0947903,0.6951984,0.0999386
1659,0.1265348,0.1267908,0.6216743,0.125
1660,0.3469772,0.083613,0.4850434,0.0843664
1661,0.1284135,0.2994334,0.4471532,0.125
1662,0.125212,0.1276302,0.6221578,0.125
1664,0.1904495,0.0268797,0.3865241,0.3961466
167,0.2448983,0.2970535,0.3343961,0.1236521
1671,0.0923458,0.0833396,0.7409657,0.0833488
1673,0.0545955,0.03125,0.8825731,0.0315814
1675,0.3655057,0.1522224,0.3989355,0.0833364
1685,0.3752187,0.1067752,0.3864321,0.1315741
1686,0.1254207,0.1250002,0.6245791,0.125
1689,0.8065872,0.0625852,0.0683272,0.0625004
1690,0.2822056,0.2395479,0.3518672,0.1263792
1692,0.5282969,0.0168375,0.4329986,0.021867
1696,0.065131,0.0653583,0.7580211,0.1114896
1697,0.2544773,0.4574864,0.1004126,0.1876236
1698,0.1253991,0.1341499,0.6154509,0.125
1702,0.0647646,0.0625747,0.7893599,0.0833008
1703,0.0609297,0.0154596,0.8908901,0.0327206
1706,0.0673723,0.0626998,0.8074279,0.0625001
1709,0.113424,0.083336,0.719888,0.083352
171,0.4869098,0.1400722,0.2480181,0.125
1710,0.4296922,0.0659876,0.4406458,0.0636743
1711,0.80821,0.0625008,0.0667883,0.0625009
1712,0.7069111,0.0312624,0.2288084,0.0330182
1716,0.0985903,0.2413277,0.5767486,0.0833334
1724,0.1250057,0.1250139,0.6249804,0.125
1728,0.125173,0.1253065,0.6245205,0.125
173,0.0830806,0.0168229,0.8818786,0.0182179
1731,0.7499206,0.0833635,0.0833826,0.0833333
1735,0.922227,0.0167252,0.0417093,0.0193385
1739,0.1313519,0.3410455,0.4026026,0.125
1746,0.7519978,0.0500646,0.1449623,0.0529753
1755,0.5350898,0.1167373,0.2298815,0.1182914
1756,0.1250014,0.6194589,0.1305397,0.125
1757,0.4203661,0.0867181,0.408452,0.0844639
1760,0.0833457,0.0833364,0.7499846,0.0833333
1764,0.3974689,0.5102348,0.0645182,0.0277781
1775,0.1284091,0.5381785,0.2478326,0.0855797
1781,0.6121704,0.0422466,0.2950681,0.0505149
1782,0.0833343,0.1153132,0.7180191,0.0833333
1784,0.0848147,0.0850429,0.7468079,0.0833346
1789,0.1275273,0.2417067,0.505766,0.125
1793,0.1418381,0.1252758,0.63723,0.0956561
1799,0.4692477,0.3014226,0.1459793,0.0833504
1801,0.1590361,0.05,0.7409637,0.0500002
1804,0.7991944,0.0278545,0.1451712,0.0277799
1805,0.7295441,0.0833415,0.1037811,0.0833333
1807,0.0833365,0.0834181,0.7498121,0.0834332
1812,0.7487574,0.0834781,0.0844312,0.0833333
1813,0.8124563,0.0625047,0.062539,0.0625
1815,0.0625892,0.0625,0.8124093,0.0625014
1818,0.3086721,0.3205197,0.243832,0.1269762
1820,0.0884913,0.0855673,0.7394339,0.0865075
1829,0.063665,0.0625972,0.8107633,0.0629745
1832,0.8057406,0.0626387,0.0691205,0.0625002
1834,0.0787691,0.050004,0.7287835,0.1424435
1842,0.0503815,0.0500037,0.8440725,0.0555424
1852,0.1258831,0.1270566,0.6220603,0.125
1858,0.7451605,0.0625211,0.1297937,0.0625247
1860,0.1315295,0.0323994,0.7738448,0.0622263
1866,0.3284692,0.0500056,0.5714245,0.0501008
1877,0.7474802,0.0656803,0.1484895,0.0383499
1879,0.1267538,0.1372704,0.6109758,0.125
1880,0.3283558,0.0833435,0.4712354,0.1170653
1881,0.1262651,0.1399537,0.6087812,0.125
1883,0.9324732,0.0193964,0.0280098,0.0201206
1890,0.398512,0.4262044,0.0918452,0.0834384
1891,0.0874052,0.0914106,0.7014165,0.1197677
1892,0.2116042,0.0950318,0.6234204,0.0699436
1897,0.125,0.1250005,0.6249995,0.125
19,0.1250002,0.1253019,0.624698,0.125
1903,0.7496426,0.083532,0.0834921,0.0833333
1905,0.1258272,0.1258177,0.6233552,0.125
1906,0.1250575,0.1270587,0.6228838,0.125
1911,0.6593501,0.0833407,0.1739521,0.0833571
1912,0.1392765,0.6085148,0.1272087,0.125
1916,0.1313242,0.1305627,0.6131132,0.125
1917,0.6611481,0.1721853,0.0833333,0.0833333
192,0.3499965,0.1720941,0.3982984,0.0796111
1934,0.749398,0.0833347,0.0839339,0.0833333
1937,0.0834512,0.0833355,0.7497988,0.0834145
1944,0.3561984,0.1252993,0.3935022,0.1250001
1945,0.7479504,0.0834084,0.0853079,0.0833333
1952,0.9202625,0.0263103,0.0284175,0.0250097
1954,0.8960737,0.0316524,0.0409416,0.0313323
1961,0.0868442,0.0833333,0.7464891,0.0833333
1966,0.1407176,0.5993062,0.1349763,0.125
1968,0.0882887,0.0917273,0.7366507,0.0833333
1970,0.0650053,0.0625,0.8098051,0.0626896
1974,0.6978876,0.1994647,0.0500326,0.0526151
1978,0.129725,0.1713339,0.5739411,0.125
1988,0.9329251,0.0227298,0.0286217,0.0157233
1989,0.2461472,0.0833432,0.5871763,0.0833333
1993,0.0877637,0.1343407,0.6945623,0.0833333
1999,0.076093,0.0500035,0.8239034,0.0500001
2,0.1250371,0.1285158,0.6214471,0.125
2001,0.8658239,0.0178573,0.0981579,0.0181608
2003,0.0486061,0.0416695,0.8680192,0.0417052
2005,0.1361461,0.1388335,0.6000204,0.125
2015,0.9064386,0.021286,0.0503455,0.0219299
2020,0.1250441,0.3118594,0.4380964,0.125
2031,0.6119888,0.0625052,0.2630021,0.0625039
2032,0.717358,0.0836938,0.1156149,0.0833333
2033,0.7943557,0.01353,0.0782424,0.1138719
2041,0.1945572,0.3660577,0.3556998,0.0836854
2045,0.0959951,0.3441257,0.4765459,0.0833333
205,0.1253928,0.2171239,0.5324833,0.125
2059,0.0318872,0.0312501,0.905595,0.0312677
2064,0.3042086,0.0445912,0.5409696,0.1102306
2072,0.1586577,0.4941147,0.2222275,0.125
2073,0.0871916,0.1354173,0.694044,0.083347
2075,0.898726,0.028141,0.0343576,0.0387755
2077,0.4204489,0.0834669,0.4123719,0.0837123
2079,0.1250012,0.1250752,0.6249236,0.125
2082,0.7499747,0.0833545,0.0833374,0.0833333
2085,0.6292278,0.0123886,0.3129859,0.0453977
2086,0.1250465,0.1490696,0.6008839,0.125
209,0.5330675,0.0467562,0.3295731,0.0906032
2090,0.0475704,0.0312502,0.8888677,0.0323117
2092,0.0626877,0.0825867,0.7920588,0.0626669
2093,0.0833406,0.7491672,0.0841589,0.0833333
210,0.0833499,0.1268534,0.7000484,0.0897483
2100,0.4698669,0.0559698,0.1970437,0.2771195
2102,0.0643138,0.0524925,0.8331936,0.0500001
2105,0.1635031,0.1121958,0.6617721,0.0625289
211,0.681248,0.1111802,0.12423,0.0833418
2114,0.1250689,0.1425133,0.6074178,0.125
212,0.8105412,0.0626276,0.0642765,0.0625547
2124,0.1255971,0.5607033,0.1886996,0.125
2129,0.695232,0.1249307,0.1047708,0.0750665
2131,0.0854484,0.7435148,0.0874975,0.0835393
2132,0.1250001,0.1253246,0.6246753,0.125
2137,0.3611905,0.0841052,0.4921936,0.0625107
2141,0.0834618,0.0838089,0.7491975,0.0835318
2144,0.8289311,0.016594,0.1245114,0.0299635
2145,0.0640725,0.1829895,0.6904376,0.0625003
2150,0.7486691,0.0846449,0.0833526,0.0833333
2152,0.2208806,0.1903616,0.3980562,0.1907017
2156,0.1180458,0.1026028,0.7273339,0.0520174
2164,0.3213251,0.3775269,0.1647378,0.1364101
2177,0.1337957,0.1516311,0.589573,0.1250002
2178,0.0748739,0.0625,0.7998442,0.062782
2182,0.6109125,0.0834153,0.2223364,0.0833359
2183,0.0345408,0.0335078,0.861539,0.0704124
2188,0.0625262,0.0625072,0.8110539,0.0639127
22,0.0833372,0.0833913,0.7498885,0.083383
220,0.0866476,0.6946081,0.135411,0.0833333
2200,0.0833333,0.0833334,0.7499999,0.0833333
2202,0.1251037,0.6207357,0.1291606,0.125
2206,0.1692632,0.0627498,0.7054042,0.0625828
2208,0.1250826,0.4392307,0.3106867,0.125
2213,0.5004462,0.293147,0.1206004,0.0858064
2216,0.7868909,0.0252067,0.1502019,0.0377005
2231,0.0631811,0.0625767,0.7439187,0.1303235
2233,0.0833528,0.0833364,0.7499775,0.0833333
2235,0.1256913,0.2275139,0.5217947,0.1250001
2237,0.208866,0.4084679,0.2500565,0.1326095
2240,0.2202595,0.0192342,0.2110226,0.5494838
2245,0.1251293,0.128952,0.6209188,0.125
2250,0.087965,0.0833387,0.7453588,0.0833376
2252,0.9208303,0.0193787,0.0354289,0.0243622
2256,0.1256125,0.5348079,0.2145796,0.125
2264,0.3374185,0.0843413,0.4618454,0.1163949
2268,0.2031458,0.0938002,0.5956501,0.107404
2271,0.1301191,0.1793121,0.5655688,0.125
2272,0.2586834,0.0249975,0.6930752,0.0232439
2279,0.1271773,0.6198523,0.1279704,0.125
228,0.1250825,0.558674,0.1912435,0.125
2280,0.0848485,0.0625001,0.7900204,0.062631
2284,0.1745211,0.0651344,0.6978444,0.0625
2288,0.5527591,0.0894956,0.2952204,0.0625248
2293,0.2922381,0.0124131,0.6824525,0.0128963
2294,0.7104783,0.0625035,0.1645182,0.0625
2303,0.0625083,0.0644079,0.8102913,0.0627925
2305,0.9057238,0.0312775,0.0316395,0.0313592
2307,0.0501787,0.05,0.8356806,0.0641406
2308,0.0864083,0.5607698,0.254212,0.0986099
231,0.0833341,0.0839125,0.7493903,0.0833631
2313,0.0650939,0.069502,0.8029041,0.0625
2323,0.0721529,0.0625001,0.8025262,0.0628207
2325,0.0839003,0.4604015,0.3723649,0.0833333
2326,0.1492604,0.5347682,0.1909714,0.125
2328,0.0357156,0.1075008,0.7882546,0.0685289
2329,0.0833338,0.7496415,0.0836913,0.0833333
233,0.3196742,0.1783513,0.3769653,0.1250092
2332,0.050335,0.0500512,0.848566,0.0510478
2334,0.3332934,0.0277784,0.5878561,0.0510721
2335,0.725692,0.0833361,0.1076386,0.0833333
2336,0.8056507,0.062504,0.0685634,0.0632819
2339,0.0500235,0.0500001,0.8499374,0.050039
2341,0.2940901,0.2436074,0.3364979,0.1258047
2343,0.1043347,0.051573,0.7849357,0.0591566
2345,0.035362,0.0250007,0.9145059,0.0251314
2347,0.0990204,0.0845764,0.7330699,0.0833333
2349,0.1999476,0.0113867,0.7696747,0.018991
2354,0.1250038,0.1400903,0.6099058,0.125
2357,0.2852822,0.4254016,0.1643076,0.1250086
236,0.1344113,0.1306517,0.609937,0.125
2361,0.7411665,0.0416671,0.1738084,0.0433579
2370,0.5269542,0.062567,0.0632212,0.3472576
2372,0.0839164,0.0836197,0.7491063,0.0833575
2375,0.0625256,0.0665537,0.8084104,0.0625103
2376,0.0250232,0.1632062,0.7868914,0.0248792
2383,0.0611178,0.0501541,0.8387281,0.05
2398,0.1390422,0.6093226,0.1266352,0.125
2408,0.646849,0.0625183,0.228045,0.0625877
2409,0.8247947,0.0508388,0.0743665,0.05
241,0.0833654,0.1073464,0.725955,0.0833333
2411,0.7497747,0.0833891,0.0835028,0.0833333
2413,0.474605,0.0255589,0.4709867,0.0288495
2417,0.4872969,0.0625898,0.3874528,0.0626605
242,0.084185,0.0886933,0.7111202,0.1160016
2425,0.0293523,0.0125268,0.9298631,0.0282578
2429,0.2936795,0.0625026,0.5804394,0.0633785
243,0.9182163,0.0080659,0.0641271,0.0095907
2433,0.2469002,0.2172875,0.2363655,0.2994468
2434,0.0288881,0.0232084,0.9251037,0.0227997
2435,0.7499835,0.0833458,0.0833373,0.0833333
2436,0.1659028,0.0634351,0.7081611,0.062501
244,0.1271848,0.4414439,0.3063713,0.125
2441,0.1330322,0.2685581,0.4734097,0.125
2443,0.4910667,0.0404931,0.4313081,0.0371321
2444,0.0833396,0.0833372,0.7499899,0.0833333
